"","position","rank","name","lastName","uri","imageUri","worth","age","source","industry","gender","country","squareImage","worth_billions"
"594",594,588,"Peter Gilgan","Gilgan","peter-gilgan","peter-gilgan",3800,67,"homebuilding","Construction & Engineering","M","Canada","//specials-images.forbesimg.com/imageserve/5a7bb1f84bbe6f2652f4f39e/416x416.jpg?background=000000&cropX1=576&cropX2=4419&cropY1=0&cropY2=3840",3.8
"595",595,588,"Jeff Greene","Greene","jeff-greene","jeff-greene",3800,63,"real estate, investments","Real Estate","M","United States","//specials-images.forbesimg.com/imageserve/4f11bbb61e2f6e54d13d5d8d64b6af1a/416x416.jpg?background=000000&cropX1=5&cropX2=731&cropY1=61&cropY2=788",3.8
"596",596,588,"Jiang Weiping","Jiang","jiang-weiping","jiang-weiping",3800,63,"chemicals","Manufacturing","M","China","//specials-images.forbesimg.com/imageserve/562e57f2e4b0ffa7afe645f1/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=113&cropY2=854",3.8
"597",597,588,"Dominika & Sebastian Kulczyk","Kulczyk","dominika-sebastian-kulczyk","dominika-sebastian-kulczyk",3800,500,"diversified","Finance and Investments","unknown","Poland","//specials-images.forbesimg.com/imageserve/5a806eb631358e4955ad27e5/416x416.jpg?background=000000&cropX1=1071&cropX2=4110&cropY1=7&cropY2=3046",3.8
"598",598,588,"Li Wa","Li","li-wa","li-wa",3800,52,"real estate","Real Estate","M","Hong Kong","//specials-images.forbesimg.com/imageserve/1d225270d1a088f84333d4b2d0d6932a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=190&cropY2=934",3.8
"599",599,588,"Robert McNair","McNair","robert-mcnair","robert-mcnair",3800,81,"energy, sports","Sports","M","United States","//specials-images.forbesimg.com/imageserve/5a8dda8ba7ea431690140c29/416x416.jpg?background=000000&cropX1=217&cropX2=2655&cropY1=249&cropY2=2686",3.8
"600",600,588,"Masahiro Miki","Miki","masahiro-miki","masahiro-miki",3800,62,"shoes","Fashion & Retail","M","Japan","//specials-images.forbesimg.com/imageserve/4b326a448b4132675e2cb6e3202fa061/416x416.jpg?background=000000&cropX1=0&cropX2=372&cropY1=2&cropY2=374",3.8
"601",601,588,"Katharina Otto-Bernstein","Otto-Bernstein","katharina-otto-bernstein","no-pic-female",3800,500,"real estate","Real Estate","F","Germany","//specials-images.forbesimg.com/imageserve/5a7e1c9e4bbe6f2652f52679/416x416.jpg?background=000000&cropX1=551&cropX2=2600&cropY1=289&cropY2=2340",3.8
"602",602,588,"Ira Rennert","Rennert","ira-rennert","ira-rennert",3800,83,"investments","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/57e06ef631358e16c589b9fd/416x416.jpg?background=000000&cropX1=79&cropX2=744&cropY1=44&cropY2=710",3.8
"603",603,588,"Henry Samueli","Samueli","henry-samueli","henry-samueli",3800,63,"semiconductors","Technology","M","United States","//specials-images.forbesimg.com/imageserve/5a8dd4c6a7ea431690140b00/416x416.jpg?background=000000&cropX1=403&cropX2=1131&cropY1=270&cropY2=999",3.8
"604",604,588,"Zeng Fangqin","Zeng","zeng-fangqin","no-pic-female",3800,52,"smartphone components","Technology","F","China",NA,3.8
"605",605,588,"Zhang Jin","Zhang","zhang-jin","no-pic",3800,46,"diversified","Diversified","M","China",NA,3.8
"606",606,606,"Nick Caporella","Caporella","nick-caporella","no-pic",3700,82,"beverages","Food and Beverage","M","United States",NA,3.7
"607",607,606,"Mark Cuban","Cuban","mark-cuban","mark-cuban",3700,59,"online media","Media & Entertainment","M","United States","//specials-images.forbesimg.com/imageserve/59dbe47b31358e542c038283/416x416.jpg?background=000000&cropX1=720&cropX2=1325&cropY1=189&cropY2=793",3.7
"608",608,606,"Ken Fisher","Fisher","ken-fisher","ken-fisher",3700,67,"money management","Finance and Investments","M","United States","//specials-images.forbesimg.com/imageserve/59dbd16931358e542c038093/416x416.jpg?background=000000&cropX1=119&cropX2=540&cropY1=34&cropY2=455",3.7
"609",609,606,"Jaime Gilinski Bacal","Gilinski Bacal","jaime-gilinski-bacal","jaime-gilinski-bacal",3700,60,"banking","Finance and Investments","M","Colombia","//specials-images.forbesimg.com/imageserve/4f07d582150616600588bf39ab92e054/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=66&cropY2=810",3.7
"610",610,606,"Andreas Halvorsen","Halvorsen","andreas-halvorsen","andreas-halvorsen",3700,56,"hedge funds","Finance and Investments","M","Norway","//specials-images.forbesimg.com/imageserve/5a7fdc4d4bbe6f2652f53746/416x416.jpg?background=000000&cropX1=629&cropX2=2041&cropY1=240&cropY2=1651",3.7
